Source List,Source Row,Supplier Name,Supplier Ref,Barcode,Brand,Range,Product Name,Public Product Description,Variant,Category,Supplier Category,Public Spec,Pack,Unit Size,Volume ML,PCS/Case,Unit Type,Buy Price,Buy Price Unit,Currency,Price Type,Margin %,Sell Price Per Case,Sell Price Per Unit,Price Display,Price Per Unit & Case,Stock Display,Stock Cases,MOQ,Incoterm,Public Terms,Origin Country,Warehouse,BBD,Offer Expiry,Public Listing,Featured,Supplier Remarks,Review,Notes
LOREAL_GARNIER,940,PT. Surya Graha Pasaraya,P9211163,8991380011163,Maybelline,Maybelline,MYB B.LIN DEFINE & BLEND PEN-NAT. BROWN,Maybelline B.Lin Define & Blend Pen-Nat. Brown,,Toiletries,Makeup,72,72 x piece,,,72,Piece,227.22,3.1559,USD,Per Case,5.0,238.59,3.31,USD 238.59,USD 238.59/case (72pk) · USD 3.31/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,941,PT. Surya Graha Pasaraya,P9211170,8991380011170,Maybelline,Maybelline,MYB B.LIN DEFINE & BLEND PEN-NAT. BROWN,Maybelline B.Lin Define & Blend Pen-Nat. Brown,,Toiletries,Makeup,72,72 x piece,,,72,Piece,228.5,3.1736,USD,Per Case,5.0,239.92,3.33,USD 239.92,USD 239.92/case (72pk) · USD 3.33/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Perubahan harga per Maret 2025,no unit size on the supplier line,
LOREAL_GARNIER,942,PT. Surya Graha Pasaraya,P9206311,6902395706311,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-115 FOUNDR,Maybelline Superstay Matte Ink-115 Foundr,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,943,PT. Surya Graha Pasaraya,P9206366,6902395706366,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-135 GLOBTR,Maybelline Superstay Matte Ink-135 Globtr,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,944,PT. Surya Graha Pasaraya,P9206410,6902395706410,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-GRDBRK,Maybelline Superstay Matte Ink-Grdbrk,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,945,PT. Surya Graha Pasaraya,P9206465,6902395706465,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-INSPIR,Maybelline Superstay Matte Ink-Inspir,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,946,PT. Surya Graha Pasaraya,P9206618,6902395706618,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-220 AMBITI,Maybelline Superstay Matte Ink-220 Ambiti,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,947,PT. Surya Graha Pasaraya,P9206663,6902395706663,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-ASSRTV,Maybelline Superstay Matte Ink-Assrtv,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,948,PT. Surya Graha Pasaraya,P9206717,6902395706717,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-DLCATE,Maybelline Superstay Matte Ink-Dlcate,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,949,PT. Surya Graha Pasaraya,P9282806,6902395682806,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK- 70 AMAZON,Maybelline Superstay Matte Ink- 70 Amazon,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,950,PT. Surya Graha Pasaraya,P9282820,6902395682820,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-75 FIGHTER,Maybelline Superstay Matte Ink-75 Fighter,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,951,PT. Surya Graha Pasaraya,P9206861,6902395706861,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-SEEKER,Maybelline Superstay Matte Ink-Seeker,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,952,PT. Surya Graha Pasaraya,P9207011,6902395707011,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-TRANSFORMR,Maybelline Superstay Matte Ink-Transformr,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,953,PT. Surya Graha Pasaraya,P9207066,6902395707066,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-210 VRSATL,Maybelline Superstay Matte Ink-210 Vrsatl,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,954,PT. Surya Graha Pasaraya,P9282974,6902395682974,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-PIONEER,Maybelline Superstay Matte Ink-Pioneer,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
LOREAL_GARNIER,955,PT. Surya Graha Pasaraya,P9282882,6902395682882,Maybelline,Maybelline,MYB SUPERSTAY MATTE INK-SEDUCT,Maybelline Superstay Matte Ink-Seduct,,Toiletries,Makeup,72,72 x piece,,,72,Piece,372.05,5.1674,USD,Per Case,5.0,390.66,5.43,USD 390.66,USD 390.66/case (72pk) · USD 5.43/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
